Timestamp,What is the name of the film?,Give a description of the film,Rate movie on a scale from 0–5:,How scary was the movie in general?,What was the setting of the zombie encounter?,Is or was there an apocalypse (multiple zombies over taking world)?,Select all that apply about the setting:,Select all that apply about the zombies:,List any other important zombie traits,How scared of this type of zombie were you?,Film Genre,"Is it a ""real""/""classic"" zombie?",Year of release,Method of infection/turning,Cause of zombism,Actual ranking
1/17/2026 23:27:11,Anna and the Apocalypse,"Musical but in a zombie movie. Anna and her friends, a group of high schoolers, must figure out how to survive the zombie apocalypse. ",3,4,"- City
- Christmas tree farm 
- Bowling alley
- School",Yes,Virus being spread,"Can infect others, Rip people apart, Decaying, Freaky eyes, Staggery walk, Dark eye circles, Can have missing body parts, Pack behaviour, Cannibalistic","- Easily bodied but a bunch of teenagers with no training
- Heads can move when not attached to bodies
- Attracted to light",6,Musical,Yes,2017,Getting bit,Virus,13
1/18/2026 12:30:20,The Autopsy of Jane Doe,"Coroner and his son conduct the autopsy of a Jane Doe found buried at the scene of a gruesome murder, but begin to encounter things that cannot be explained.",4,8,Morgue,No,No survivors,"Reanimation, Voodoo/magic, Cannot be killed, Sentience, Freaky eyes, Grey skin, Can have missing body parts","- Can reanimate corpses
- Telekinesis
- Didn't move the whole fucking movie
- Innocent accused witch who was tortured and ritual brought her back to life",4,Psychological,No,2016,Cannot infect others,Voodoo/witchcraft,20
1/19/2026 23:18:09,White Zombie,Plantation owner tries to break up a newlywed couple by employing a local witch doctor/zombie slave owner to kill and reanimate the bride in order to marry her.,1,2,"- Castle
- Forest",No,,"Reanimation, Voodoo/magic, Freaky eyes, Staggery walk, Pack behaviour","- More like hypnotism, don't even have to be dead
- Literally killed via lemming cliff dive
- Look exactly like humans but with a bored look in their eyes",1,Romance,Not a zombie,1932,Cannot infect others,Voodoo/witchcraft,29
1/20/2026 17:25:22,Pontypool,A small radio station in the city of Pontypool breaks the story of a language-based zombie outbreak live as it happens. ,4,7,"- Radio station
- Grain silo",Yes,"Virus being spread, Cure exists, No survivors","Fast zombie, Ability to speak, Can infect others, Rip people apart, Pack behaviour, Cannibalistic","- Babble words
- Transmitted through language, ""understanding"" an English word will cause speaker to become infected
- Attracted to words and will seek a target to kill if infected
- Throws up guts and dies if cannot reach its target in time
- Infection cured if speaker can lose understanding of their word (eg. kill=kiss)",5,Psychological,No,2008,Realization,Virus,14
1/21/2026 16:43:12,Zombieland,"An unlikely family: the last survivors of the zombie apocalypse team up on a road trip to an amusement park, finding life, laughs, and love along the way.",3.5,5,"- City
- Amusement park
- Apartment complex
- Grocery store
- Gas station",Yes,Virus being spread,"Fast zombie, Can infect others, Rip people apart, Intelligent (but not sentient), Decaying, Freaky eyes, Can have missing body parts, Pack behaviour, Cannibalistic","- Can be fooled by dressing in zombie makeup
- Respect plot armour",8,Comedy,Yes,2009,Getting bit,Virus,6
1/24/2026 17:41:40,The Cured,"The zombie apocalypse has happened and most infected have been cured, but the people still retain the memories of what they did when they were zombies and reintegration with normal society has challenges.",5,8,"- City
- Military base
- House
- School",Yes,"Virus being spread, Cure exists","Fast zombie, Can infect others, Rip people apart, Intelligent (but not sentient), Grey skin, Pack behaviour, Sentience, Cannibalistic","- Heavy breathing
- Prominent veins
- Pack familiarity and communication",7,Drama,Yes,2017,Getting bit,Virus,7
1/24/2026 22:08:17,[Rec],A film crew records a documentary as an apartment complex is quarantined during the outbreak of a zombie virus.,5,9,Apartment complex,No,"Virus being spread, No survivors","Fast zombie, Can infect others, Rip people apart, Cannibalistic","- Screaming
- Horror from this movie comes from no one in it ever having seen a zombie film before",9,Horror,Yes,2007,Getting bit,Virus,4
1/25/2026 14:47:06,The Dead Don't Die,"After polar fracking tilts the earth off its axis, the dead rise in the small town of Centerville, but its people are prepared.",2,2,"- City
- Morgue
- Police department
- School
- Graveyard",Yes,No survivors,"Reanimation, Sentience, Ability to speak, Rip people apart, Decaying, Staggery walk, Grey skin, Dark eye circles, Pack behaviour, Cannibalistic","- Earth is off its axis causes zombies
- Only come out at night
- Repeat phrases over and over
- Seems like the easiest zombie invasion ever to avoid but everyone still dies anyway",4,Comedy,Yes,2019,Dying,Astrology,21
1/26/2026 21:30:41,Let Sleeping Corpses Lie,"After an unlikely couple become suspects in a murder investigation, they must convince the police that the culprit was actually the living dead and survive to tell the tale.",4,4,"- Medical center
- Hotel
- Farm
- Graveyard",No,,"Reanimation, Rip people apart, Intelligent (but not sentient), Freaky eyes, Staggery walk, Cannibalistic","- Patient 0 by ultrasonic radiation used to remove insects in fields; others reanimated using blood of the living
- Bludgeons people to death
- Raspy breathing
- Teleporting powers? Walks slow but still manages to catch up to people running
- Fire bad",3,Horror,No,1974,Dying,Radiation/EMF,24
1/27/2026 17:53:56,The Girl With All the Gifts,"After their military base is overrun by Hungries, a few personnel and young zombie-hybrid girl must make the trek to a new location in order to survive.",2.5,6,"- Medical center
- Military base
- Forest
- City
- Grocery store",Yes,"Virus being spread, No survivors","Fast zombie, Fungal zombie, Can infect others, Rip people apart, Decaying, Pack behaviour, Cannibalistic","- Weird shit all over skin (like mud clumps?)
- Sunbathe for photosynthesis in day
- Caused by spores",7,Adventure,Yes,2016,"Spore, Getting bit, Consuming infected flesh",Plant/fungus,8
1/28/2026 19:22:21,Warm Bodies,"When a zombie named R saves a living girl from an attack, the two form a unique relationship that might change the world.",3.5,3,"- City
- Medical center
- Airport
- House
- Stadium
- Military base",Yes,"Virus being spread, Cure exists","Fast zombie, Sentience, Can infect others, Rip people apart, Staggery walk, Grey skin, Dark eye circles, Pack behaviour, Cannibalistic","- Normal zombies eventually pick off their skin and become unfeeling ""Boneys""
- Get memories of person if eat brain
- Generally slow but can run fast
- Cure is love or something",2,Romance,Yes,2013,Getting bit,Unknown,25
1/29/2026 18:03:19,The Spore,The interconnected stories of ten different people as they deal with a spore-based plague causing people to become withered and violent.,2.5,7,"- Forest
- Medical center
- Cabin
- House
- Garage",Yes,Virus being spread,"Fungal zombie, Can infect others, Rip people apart, Intelligent (but not sentient), Decaying, Can have missing body parts","- Black moldy skin
- Fungus spores take over host body, make them violent, then kills them in <1 day
- Weird mouth creature popped out of one of the infected
- Not even really zombies
- Every infected person looked and did something different so idk",7,Horror,Not a zombie,2021,"Spore, Getting bit, Consuming infected flesh",Plant/fungus,9
1/30/2026 18:48:48,28 Days Later,A man wakes from a coma 28 days after the zombie apocalypse has begun. He must quickly learn how the new world works and what his place in it is.,4,6,"- City
- Gas station
- Apartment complex
- Military base
- Forest",Yes,Virus being spread,"Fast zombie, Can infect others, Intelligent (but not sentient), Freaky eyes, Dark eye circles, Cannibalistic","- Infected by infected blood entering the body (ingestion, through wound, etc)
- Very violent, causes ""rage""
- Only in Britain LMAO
- Infection came from roided up chimps",6,Adventure,Yes,2002,Getting bit,Rage,12
1/31/2026 23:08:35,Z-O-M-B-I-E-S,"Zed has high hopes of joining the school football team when zombies are allowed to go to a normal high school for the first time thanks to special inhibitor bracelets, but when he meets  cheerleader Allison he finds he has even bigger dreams.",3,1,"- City
- School",Yes,Cure exists,"Fast zombie, Sentience, Ability to speak, Rip people apart, Pale skin, Dark eye circles, Cannibalistic","- Caused by accident with lime soda in a power plant
- Eat brains and get veiny  when not wearing inhibitor bands
- I have so many questions about zombie reproduction
- Zombie traits are ONLY about when NOT wearing Z-bands
- Scared of fire",1,Musical,Yes,2018,Cannot infect others,Chemical,28
2/3/2026 22:24:26,One Cut of the Dead,A film crew shooting a zombie movie is surprised when real zombies suddenly attack. But how did this happen?,5,1,"- Forest
- Filtration plant",No,Virus being spread,"Can infect others, Freaky eyes, Staggery walk, Pale skin, Dark eye circles, Can have missing body parts, Cannibalistic",- Not real,2,Comedy,Not a zombie,2017,Getting bit,Voodoo/witchcraft,26
2/4/2026 22:46:37,The Serpent and the Rainbow,"An anthropologist goes to Haiti to investigate reports of people coming back to life, before being swept up in a conflict with the country's new dictator, who practices voodoo.",2,3,"- Medical center
- Graveyard
- Military base",No,Cure exists,"Reanimation, Sentience, Ability to speak, Voodoo/magic","- Look just like humans
- Not actual zombies. Tetrodotoxin makes people appear dead, then they wake up ~12hr later but remember everything they went through so they seem like zombies",2,Horror,Not a zombie,1988,Powder,Chemical,27
2/5/2026 23:09:14,Shaun of the Dead,British man is broken up with the day before the zombie apocalypse starts. Can he and his best friend work together to save the people and places they love?,3,4,"- City
- Pub
- House
- Apartment complex",Yes,Virus being spread,"Reanimation, Can infect others, Rip people apart, Freaky eyes, Staggery walk, Pale skin, Can have missing body parts, Pack behaviour, Cannibalistic",- Easily fooled by pretending to be a zombie,5,Comedy,Yes,2004,Getting bit,Virus,15
2/7/2026 22:46:28,Night of the Living Dead,"When the dead begin to rise, seven strangers are trapped together in a house. Will they be able to survive the apocalypse or will their conflicting ideas get in the way?",3.5,4,"- Graveyard
- House
- Forest",Yes,No survivors,"Reanimation, Rip people apart, Intelligent (but not sentient), Staggery walk, Can have missing body parts, Pack behaviour, Cannibalistic","- Scared of fire
- Caused by radiation from Venus
- Use tools and fists to kill people, then eat them",5,Horror,Yes,1968,Dying,Radiation/EMF,17
2/9/2026 21:53:33,City of the Living Dead,"When a psychic has a vision of a portal to hell opening in the city of Dunwich, she and a local reporter team up to stop the rising of the living dead.",2.5,5,"- Graveyard
- House
- City
- Funeral palour
- Tomb",No,,"Reanimation, Voodoo/magic, Rip people apart, Intelligent (but not sentient), Decaying, Can have missing body parts","- Teleportation and telekinesis
- Caused by suicide of priest which opened portal to hell
- Moaning and heavy breathing",6,Horror,No,1980,Dying,Voodoo/witchcraft,11
2/10/2026 21:18:04,Blood Quantum,A reserve of indigenous people find themselves immune when the zombie apocalypse starts and must protect themselves from threats both outside and within.,3.5,8,"- Medical center
- House
- Prison
- City
- Bridge
- Seashore",Yes,Immune people exist,"Fast zombie, Reanimation, Can infect others, Rip people apart, Freaky eyes, Can have missing body parts, Pack behaviour, Cannibalistic","- Getting bit, consuming infected flesh, or dying will turn a person
- Indigenous people are immune
- Animals can also be infected (ex. dogs, fish)
- Attracted to sound",8,Action,Yes,2019,"Getting bit, Dying, Consuming infected flesh",Virus,5
2/12/2026 17:25:32,Colin,"When British teen Colin is bitten, the world passes him by as he walks through it as a zombie.",2.5,3,"- House
- City
- Apartment complex",Yes,Virus being spread,"Reanimation, Can infect others, Rip people apart, Staggery walk, Pale skin, Cannibalistic",- Limited recall of memories,5,Drama,Yes,2008,Getting bit,Unknown,18
2/14/2026 20:35:06,The Sadness,"In Taiwan, a couple try to reunite when a madness contagion overtakes the population causing people to commit unspeakable acts of cruelty and violence against others.",3.5,10,"- City
- Restaurant
- Apartment complex
- Basketball court
- Train
- Medical center",Yes,"Virus being spread, Immune people exist, No survivors","Fast zombie, Sentience, Ability to speak, Can infect others, Rip people apart, Freaky eyes, Pack behaviour, Cannibalistic","- Huge smiles, laughter, tears streaming down face
- Turns people homicidal, rapey, and cannibalistic
- Infected understand what they're doing is wrong but the desire is too strong
- Infection of the limbic system",10,Action,No,2021,"Getting bit, Realization",Virus,1
2/16/2026 18:45:13,Re-Animator,A doctor and his fiancee gets swept up in a deadly affair when their tenant perfects a serum to reanimate the dead.,4.5,4, ,No,,"Ability to speak, Cannibalistic, Can have missing body parts, Dark eye circles, Pale skin, Reanimation, Rip people apart, Sentience, Staggery walk","- Serum injected into brain reanimates body
- Body parts can operate separately (reanimated head will also reanimate body)
- Time of injection after death will cause more or less sentience",4,Horror,No,1985,Chemical,Chemical,22
2/17/2026 15:19:40,Wendell & Wild,"After a youth of crime following the death of her parents, Kat returns to her hometown and makes a deal with demons Wendell & Wild to raise the dead.",3,3,"- Graveyard
- School
- Lake",No,,"Ability to speak, Dark eye circles, Decaying, Freaky eyes, Intelligent (but not sentient), Pale skin, Reanimation, Sentience","- Cream used to raise people form the dead temporarily
- Undead retain memories and personalities; basically people but they were once dead",2,Animation,No,2022,"Cannot infect others, Chemical",Chemical,
2/17/2026 19:55:38,"I, Zombie",A student abandons his girlfriend after being infected by a virus that makes him crave human flesh. He documents and records the many changes that begin to affect him.,4,3,"- Forest
- House
- City",No,Virus being spread,"Can infect others, Cannibalistic, Dark eye circles, Decaying, Freaky eyes, Pale skin, Rip people apart, Staggery walk","- Transformation into a zombie is slow
- Sentient throughout transformation, but mind degrades over time",5,Drama,Yes,1999,Getting bit,Virus,19
2/19/2026 14:37:59,I Walked With a Zombie,"A nurse is invited to the Caribbean take care of the mentally ill wife of a plantation owner, but soon finds that voodoo and mystery fill the land.",1,1,"- Plantation
- Forest",No,,"Freaky eyes, Staggery walk, Voodoo/magic","- Voodoo cast on a person to fall ill, then when they die they are brought back to life as a mindless being
- Zombies easily killed via stabbing
- Follow orders",1,Drama,No,1943,Cannot infect others,Voodoo/witchcraft,30
3/18/2026 17:37:18,Train to Busan,"A selfish father takes his daughter on a train to Busan, South Korea. When a zombie outbreak occurs, can the people on the train work together to survive?",5,9,"- Train station
- Train",Yes,Virus being spread,"Can have missing body parts, Can infect others, Fast zombie, Freaky eyes, Pack behaviour, Staggery walk, Cannibalistic","- Veiny, crackly bones
- Infection process is ultrafast, within seconds of bite
- Only go feral when can see uninfected (stupid in darkness)
- Cannot work doors",9,Action,Yes,2016,Getting bit,Virus,3
3/19/2026 18:24:14,We Bury the Dead,"When an EM pulse weapon is dropped on Tasmania and corpses begin reanimating, a woman working with the body retrieval team sets out on a journey to find what remains of her husband.",3,3,"- House
- Farm
- Forest
- Barn
- Hotel
- City",No,,"Can have missing body parts, Decaying, Fast zombie, Freaky eyes, Reanimation","- US launched experimental weapon with EM pulse that left people brain dead
- Only some dead rise again and the longer they go on, the more violent they get?
- Some seem to be semi-concious",5,Adventure,Yes,2026,Cannot infect others,Radiation/EMF,16
3/20/2026 17:02:41,The Night Eats the World,A musician wakes up to find a zombie apocalypse may have wiped out the entire population. He struggles with being alone as he survives while trapped in an apartment complex.,4.5,3,"- City
- Apartment complex",Yes,Virus being spread,"Can have missing body parts, Can infect others, Cannibalistic, Decaying, Fast zombie, Freaky eyes, Pack behaviour, Staggery walk","- Zombies are quiet and attracted to sound
- Only eat humans? (cats are fine)",7,Drama,Yes,2018,Getting bit,Unknown,10
3/21/2026 18:18:48,Fido,"In an alternate 1960s, collars have been created to make zombies docile. When the Robinsons get a zombie slave, their young son gets attached.",2.5,2,"- Forest
- House
- City
- Park
- Factory",Yes,,"Can have missing body parts, Cannibalistic, Decaying, Freaky eyes, Green skin, Pale skin, Reanimation, Sentience, Staggery walk","- Cannot reanimate if brain is destroyed
- Domestication collar removes cannibalistic desires",3,Comedy,Yes,2006,Dying,Radiation/EMF,23
3/29/2026 21:48:57,World War Z,"When a zombie virus begins infecting people, a former UN investigator must leave his family behind to try and identify a way to stop it.",2,8,"- City
- Military base
- Airplane
- Medical center
- Apartment complex",Yes,"Immune people exist, Virus being spread","Can have missing body parts, Can infect others, Fast zombie, Freaky eyes, Pack behaviour","- Want to bite others without care for harm to themself
- Veiny
- Love flinging themselves off buildings",9,Action,Yes,2013,Getting bit,Virus,2